Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/parse,94,9,10000.0,10353.941372213661,1051.4527140185237,26422.016863012686,415.67021276595744,0.7881979007974192,0.07546575645932738,10000,11000,11000,12000,13000,22000,24000,26000,26000,26000,26000
,Aggregated,94,9,10000.0,10353.941372213661,1051.4527140185237,26422.016863012686,415.67021276595744,0.7881979007974192,0.07546575645932738,10000,11000,11000,12000,13000,22000,24000,26000,26000,26000,26000
