scenario,requests,failures,failure_pct,median_ms,req_per_s
No HPA (10u_2r),87,9,10.344827586206897,10000.0,0.7776887918562206
HPA @50% (10u_2r),94,9,9.574468085106384,10000.0,0.7881979007974192
HPA minPods=20 (10u_1r),87,6,6.896551724137931,10000.0,0.7358095998813363
