Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/parse,87,9,10000.0,10374.81133179236,15.50008897902444,25263.914382026996,412.02298850574715,0.7776887918562206,0.08045056467478146,10000,11000,11000,11000,17000,23000,24000,25000,25000,25000,25000
,Aggregated,87,9,10000.0,10374.81133179236,15.50008897902444,25263.914382026996,412.02298850574715,0.7776887918562206,0.08045056467478146,10000,11000,11000,11000,17000,23000,24000,25000,25000,25000,25000
