Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/parse,87,6,10000.0,10833.781407947983,2240.0234080269,35277.143496030476,421.11494252873564,0.7358095998813363,0.05074548964698871,10000,11000,11000,12000,15000,24000,29000,35000,35000,35000,35000
,Aggregated,87,6,10000.0,10833.781407947983,2240.0234080269,35277.143496030476,421.11494252873564,0.7358095998813363,0.05074548964698871,10000,11000,11000,12000,15000,24000,29000,35000,35000,35000,35000
